"edge_id","interlanguage_id","mechanism","population_cell_id","community_label","territory","language_tag","script","coverage_mode","comprehension_low","comprehension_base","comprehension_high","prior_study_required","receptive_or_productive","tested_task","script_match","existing_edition_overlap","explicit_exclusions","double_count_rule","recommended_portfolio","adaptation_depth","source_ids","source_locator","confidence","inference_flag","notes"
"EDGE-ROM-002","IL-ROM","pluricentric_shared_core","CELL-ROM-PTBR","Brazilian Portuguese cell","Brazil","pt-BR","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in the named standard","receptive","none required for own localized output","exact","complete local edition","European and African Portuguese profiles not automatically included","pt-BR output is subtracted from residual bridge scenarios; no additive bridge credit","FR-2","D2","ACE-A010","Current local workflow state","medium","architecture_not_comprehension_claim","Named locale retained."
"EDGE-ROM-003","IL-ROM","pluricentric_shared_core","CELL-ROM-FR","French-standard cell","French-language territories separately modeled","fr","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in exact locale standard","receptive","none","exact","not established in current successor census","Other Romance languages","Claims only exact French cell; bilingual overlap deducted separately","FR-2","D2","ACE-E015","Natural-language pair study is not a coverage bound","low","architecture_not_comprehension_claim","No pan-Romance comprehension probability."
"EDGE-ROM-004","IL-ROM","pluricentric_shared_core","CELL-ROM-IT","Italian-standard cell","Italy","it-Latn-IT","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in named standard","receptive","none","exact","not established","Sardinian Sicilian Neapolitan Friulian and Ladin","Claims only Italian cell","FR-2","D2","ACE-E015","Natural-language pair study","low","architecture_not_comprehension_claim","Related minority languages remain separate."
"EDGE-ROM-005","IL-ROM","pluricentric_shared_core","CELL-ROM-RO","Romanian-standard cell","Romania and Moldova profiles separate","ro-Latn-RO","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in exact standard","receptive","none","exact","not established","Aromanian and other Eastern Romance varieties","Claims only exact Romanian cell","FR-2","D2","ACE-E015","Natural-language pair study","low","architecture_not_comprehension_claim","No bridge reach."
"EDGE-ROM-006","IL-ROM","pluricentric_shared_core","CELL-ROM-CA","Catalan-standard cell","Catalan territories separately modeled","ca-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in exact standard","receptive","none","exact","not established","Occitan and other Romance languages","Claims only Catalan cell; Spanish overlap deducted by cohort","FR-2","D2","ACE-E015","Natural-language pair study","low","architecture_not_comprehension_claim","Named output required."
"EDGE-ROM-007","IL-ROM","pluricentric_shared_core","CELL-ROM-GL","Galician-standard cell","Galicia","gl-Latn-ES","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in exact standard","receptive","none","exact","not established","Portuguese and Spanish are separate baseline editions","Claims only residual Galician cell after measured Spanish/Portuguese comfort","FR-2","D2","ACE-E015","Natural-language pair study","low","architecture_not_comprehension_claim","No automatic Portuguese or Spanish coverage."
"EDGE-TUR-001","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-TR","Turkish-standard cell","Turkey","tr-Latn-TR","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","complete local Turkish edition","All other Turkic languages","Turkish population is already covered locally and is never added to branch reuse reach","FR-2","D2","ACE-A008","Current Turkish state","medium","architecture_not_comprehension_claim","Engineering baseline only."
"EDGE-TUR-002","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-AZ","Azerbaijani-standard cell","Azerbaijan","az-Latn-AZ","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Turkish overlap unmeasured","Other Oghuz languages","Cross-language Turkish credit is zero; named Azerbaijani output claims only Azerbaijani cell","FR-2","D2","ACE-A008","No direct directional task registered","low","architecture_not_comprehension_claim","Oghuz reuse saves compute."
"EDGE-TUR-003","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-TK","Turkmen-standard cell","Turkmenistan","tk-Latn-TM","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Turkish overlap unmeasured","Other Oghuz languages","Cross-language reach zero; named output only","FR-2","D2","ACE-A008","No direct directional task registered","low","architecture_not_comprehension_claim","Oghuz branch."
"EDGE-TUR-004","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-GAG","Gagauz-standard cell","Moldova exact communities","gag-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Turkish overlap unmeasured","Other Oghuz languages","Cross-language reach zero; named output only","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Small residual Oghuz profile."
"EDGE-TUR-005","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-KK","Kazakh-standard cell","Kazakhstan","kk-Cyrl-KZ","Cyrl","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Russian and Turkic overlap unmeasured","Oghuz and other Kipchak languages","No cross-language credit; script projection is not additive","FR-2","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Kipchak profile."
"EDGE-TUR-006","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-KY","Kyrgyz-standard cell","Kyrgyzstan","ky-Cyrl-KG","Cyrl","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Russian and Turkic overlap unmeasured","Other Kipchak languages","No cross-language credit","FR-2","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Kipchak profile."
"EDGE-TUR-007","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-TT","Tatar-standard cell","Russian Federation","tt-Cyrl-RU","Cyrl","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Russian and Turkic overlap unmeasured","Other Kipchak languages","No cross-language credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Kipchak profile."
"EDGE-TUR-008","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-BA","Bashkir-standard cell","Russian Federation","ba-Cyrl-RU","Cyrl","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Russian and Turkic overlap unmeasured","Other Kipchak languages","No cross-language credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Kipchak profile."
"EDGE-TUR-009","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-UZ","Uzbek-standard cell","Uzbekistan","uz-Latn-UZ","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Russian and Turkic overlap unmeasured","Uyghur and all other Karluk profiles","No cross-language credit; legacy Cyrillic is a script-access cell","MV-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Karluk profile."
"EDGE-TUR-010","IL-TURKIC","natural_intercomprehension_reuse","CELL-TUR-UG","Uyghur-standard cell","Xinjiang and diaspora","ug-Arab-CN","Arab","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Uzbek and Turkic overlap unmeasured","Other Karluk profiles","No cross-language credit","FR-2","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Karluk profile with distinct script."
"EDGE-GER-001","IL-GERM","natural_intercomprehension_reuse","CELL-GER-NL","Dutch-standard cell","Netherlands and Belgium profiles separate","nl-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","English overlap expected high but unmeasured","All residual Germanic communities","Claims only residual Dutch cell; cross-language credit zero","FR-1","D2","ACE-E015","Natural-language comparison study","low","architecture_not_comprehension_claim","Negative-control tendency after English overlap."
"EDGE-GER-002","IL-GERM","natural_intercomprehension_reuse","CELL-GER-AF","Afrikaans-standard cell","South Africa and Namibia cells separate","af-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Dutch and English overlap unmeasured","Other Germanic languages","Claims only residual Afrikaans cell; directional Dutch credit zero","FR-1","D2","ACE-E015","Natural-language comparison study","low","architecture_not_comprehension_claim","Clearest narrower reuse pair."
"EDGE-GER-003","IL-GERM","natural_intercomprehension_reuse","CELL-GER-NDS","Low German exact-standard cell","Germany and diaspora cells separate","nds-Latn-DE","Latn","localized_native_output","unknown","unknown","unknown","none beyond exact-standard literacy","receptive","none","exact","German overlap unmeasured","Dutch Afrikaans and other Germanic communities","No pan-Germanic credit; named output only","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Standard resolution remains necessary."
"EDGE-GER-004","IL-GERM","natural_intercomprehension_reuse","CELL-GER-PDT","Plautdietsch cell","exact diaspora territories separate","pdt-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond community-standard literacy","receptive","none","exact","German English Russian Spanish and Portuguese overlaps vary","Other Germanic diaspora languages","Deduplicate by residence and dominant academic-language access; no pan-Germanic credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Diaspora-specific."
"EDGE-GER-005","IL-GERM","natural_intercomprehension_reuse","CELL-GER-PDC","Pennsylvania Dutch cell","United States exact communities","pdc-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond community-standard literacy","receptive","none","exact","English overlap likely high but unmeasured","Other Germanic diaspora languages","Count only residual community readers; no pan-Germanic credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Prestige-domain candidate."
"EDGE-GER-006","IL-GERM","natural_intercomprehension_reuse","CELL-GER-GEH","Hutterisch cell","North American communities","geh-Latn","Latn","localized_native_output","unknown","unknown","unknown","none beyond community-standard literacy","receptive","none","exact","English and German overlap unmeasured","Other Germanic diaspora languages","Count only residual community readers; no pan-Germanic credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Separate from Plautdietsch and Pennsylvania Dutch."
"EDGE-GER-007","IL-GERM","natural_intercomprehension_reuse","CELL-GER-FY","West Frisian cell","Netherlands","fy-Latn-NL","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Dutch and English overlap unmeasured","Other Frisian languages and Germanic communities","No pan-Germanic credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Exact Frisian language required."
"EDGE-GER-008","IL-GERM","natural_intercomprehension_reuse","CELL-GER-YI","Yiddish exact-register cell","diaspora territories separate","yi-Hebr","Hebr","localized_native_output","unknown","unknown","unknown","none beyond exact-register literacy","receptive","none","distinct script","English Hebrew Russian and German overlaps vary","All Latin-script Germanic profiles","No pan-Germanic credit; residence and community register define separate cells","FR-2","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Must remain separate."
"EDGE-GER-009","IL-GERM","natural_intercomprehension_reuse","CELL-GER-SCO","Scots cell","Scotland","sco-Latn-GB","Latn","localized_native_output","unknown","unknown","unknown","none beyond exact-standard literacy","receptive","none","exact","English overlap expected very high but unmeasured","Other Germanic communities","Count only residual comfortable-reader gain; no pan-Germanic credit","FR-1","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Likely low raw marginal reach."
"EDGE-GER-010","IL-GERM","natural_intercomprehension_reuse","CELL-GER-FO","Faroese cell","Faroe Islands","fo-Latn-FO","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Danish and English overlap unmeasured","Mainland Scandinavian and other Germanic languages","No pan-Germanic or mainland Scandinavian credit","FR-2","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Named output is defensible."
"EDGE-IDMS-001","IL-IDMS","pluricentric_shared_core","CELL-IDMS-ID","Indonesian standard cell","Indonesia","id-Latn-ID","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","321 of 722 Open Logic units local","Javanese Sundanese Madurese Minangkabau Acehnese and other languages","Current Indonesian progress is subtracted; no Malaysian reach","FR-2","D2","ACE-A011","Current Indonesian state","medium","architecture_not_comprehension_claim","Partial continuation rather than start-from-zero."
"EDGE-IDMS-002","IL-IDMS","pluricentric_shared_core","CELL-IDMS-MS-MY","Malaysian Malay Rumi cell","Malaysia","ms-Latn-MY","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","Indonesian cross-standard overlap untested","Other Malayic and Indonesian languages","Zero Indonesian credit pending directional technical-text audit; localized output claims Malaysian cell","FR-2","D2","ACE-A011","Local state records Malaysian Malay as distinct and unstarted","medium","architecture_not_comprehension_claim","MABBIM-aligned termbase can reduce compute."
"EDGE-IDMS-003","IL-IDMS","pluricentric_shared_core","CELL-IDMS-MS-JAWI","Malaysian Malay Jawi-reading stratum","Malaysia","ms-Arab-MY","Arab","script_derivative","unknown","unknown","unknown","none beyond Jawi literacy","receptive","none","exact","Same language as ms-Latn-MY","Other Malayic languages","Partition or model dual literacy; never add Jawi and Rumi populations","FR-2","D2","ACE-A011","No direct script-stratum evidence registered","low","inference_only","Script derivative only."
"EDGE-IDMS-004","IL-IDMS","pluricentric_shared_core","CELL-IDMS-MS-BN","Brunei Malay educational-standard cell","Brunei","ms-Latn-BN","Latn","localized_native_output","unknown","unknown","unknown","none beyond exact-standard literacy","receptive","none","exact","Indonesian and Malaysian overlap untested","Other Malayic languages","Named Brunei cell only; no regional blanket credit","FR-2","D2","ACE-A021","Candidate seed only","low","architecture_not_comprehension_claim","Locale-specific output may be small adaptation."
"EDGE-SCAND-001","IL-SCAND","natural_intercomprehension_reuse","CELL-SCAND-DA","Danish-standard cell","Denmark","da-Latn-DK","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","exact pair values not registered","exact","English and Scandinavian overlap unmeasured","Faroese Icelandic","Named output only; cross-language reach zero until exact directional value is imported","FR-1","D2","ACE-E015","Gooskens and van Heuven 2017 natural-language tests","medium","architecture_not_comprehension_claim","Spoken and written asymmetries matter."
"EDGE-SCAND-002","IL-SCAND","natural_intercomprehension_reuse","CELL-SCAND-NB","Norwegian Bokmal cell","Norway","nb-Latn-NO","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","exact pair values not registered","exact","English and Scandinavian overlap unmeasured","Nynorsk Faroese Icelandic","Named output only; no cross-language credit","FR-1","D2","ACE-E015","Natural-language tests","medium","architecture_not_comprehension_claim","Keep Bokmal and Nynorsk outputs distinct."
"EDGE-SCAND-003","IL-SCAND","natural_intercomprehension_reuse","CELL-SCAND-NN","Norwegian Nynorsk cell","Norway","nn-Latn-NO","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","exact pair values not registered","exact","Bokmal English and Scandinavian overlap unmeasured","Faroese Icelandic","Partition Norwegian readers and do not add dual-standard literacy","FR-1","D2","ACE-E015","Natural-language tests","low","architecture_not_comprehension_claim","Named output required."
"EDGE-SCAND-004","IL-SCAND","natural_intercomprehension_reuse","CELL-SCAND-SV","Swedish-standard cell","Sweden","sv-Latn-SE","Latn","localized_native_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","exact pair values not registered","exact","English and Scandinavian overlap unmeasured","Faroese Icelandic","Named output only; cross-language reach zero until exact directional value is imported","FR-1","D2","ACE-E015","Natural-language tests","medium","architecture_not_comprehension_claim","High English overlap likely reduces marginal access."
"EDGE-AR-001","IL-AR","pluricentric_shared_core","CELL-AR-MSA","Readers comfortable with Modern Standard Arabic","territories separately modeled","ar","Arab","existing_formal_base","unknown","unknown","unknown","formal literacy required","receptive","none registered for target corpus","exact","complete local Arabic edition","Amazigh Kurdish Nubian Modern South Arabian and signed languages","Existing MSA coverage is baseline and cannot be claimed again by scaffolds","FR-2","D2","ACE-A009;ACE-E001","Current Arabic state and aggregate policy synthesis","medium","baseline_only","Residual intervention begins after this base."
"EDGE-AR-002","IL-AR","pluricentric_shared_core","CELL-AR-EG","Egyptian Arabic scaffold users","Egypt","arz-Arab-EG","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Non-Arabic Egypt languages","Credit only measured increase from dialect glossary plain-language or audio scaffold beyond MSA","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific comprehension bound registered","low","inference_only","Not a replacement for a source-faithful MSA edition."
"EDGE-AR-003","IL-AR","pluricentric_shared_core","CELL-AR-LEV","Levantine Arabic scaffold users","Levant exact country cells","apc-Arab","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Kurdish Armenian and other non-Arabic communities","Credit only residual scaffold gain and deduplicate country cells","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific bound registered","low","inference_only","Country layers remain separate."
"EDGE-AR-004","IL-AR","pluricentric_shared_core","CELL-AR-IQ","Mesopotamian Arabic scaffold users","Iraq","acm-Arab-IQ","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Kurdish Turkmen Neo-Aramaic and other communities","Credit only residual scaffold gain","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific bound registered","low","inference_only","No Iraq-wide reach."
"EDGE-AR-005","IL-AR","pluricentric_shared_core","CELL-AR-GULF","Gulf Arabic scaffold users","exact Gulf country cells","afb-Arab","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Non-Arabic migrant and local languages","Credit only residual scaffold gain; country cells and migrant status remain separate","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific bound registered","low","inference_only","No Gulf demographic ceiling."
"EDGE-AR-006","IL-AR","pluricentric_shared_core","CELL-AR-MA","Moroccan Arabic scaffold users","Morocco","ary-Arab-MA","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Standard Moroccan Amazigh Tachelhit Tarifit and other Amazigh languages","Credit only residual scaffold gain after MSA; no non-Arabic reach","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific bound registered","low","inference_only","Diglossic distance is explicit uncertainty."
"EDGE-AR-007","IL-AR","pluricentric_shared_core","CELL-AR-TN","Tunisian Arabic scaffold users","Tunisia","aeb-Arab-TN","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Non-Arabic communities","Credit only residual scaffold gain","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific bound registered","low","inference_only","No regional blanket credit."
"EDGE-AR-008","IL-AR","pluricentric_shared_core","CELL-AR-SD","Sudanese Arabic scaffold users","Sudan","apd-Arab-SD","Arab","scaffold_on_existing_msa","unknown","unknown","unknown","unknown","receptive","none","exact dialect script","complete MSA base","Nubian Beja Fur and other non-Arabic languages","Credit only residual scaffold gain","FR-2;AX-3","separate_derivative","ACE-A009","No dialect-specific bound registered","low","inference_only","Conflict and offline access modeled separately."
"EDGE-PDT-001","IL-PDT","pluricentric_shared_core","CELL-PDT-FA","Iranian Persian cell","Iran","fa-Arab-IR","Arab","existing_localized_output","unknown","unknown","unknown","none beyond named-standard literacy","receptive","none","exact","complete local Iranian Persian edition","Dari Tajik Kurdish Pashto Balochi and Pamiri languages","Existing fa-IR coverage is baseline and not added to adaptation reach","FR-2","D2","ACE-A009","Current paired edition state","medium","baseline_only","Shared source begins from this edition."
